internal_id,gtdb_genus,gtdb_family,gtdb_species
AS031,Pantoea,Enterobacteriaceae,Pantoea eucrina
AS083,Serratia,Enterobacteriaceae,Serratia marcescens
AS085,Pantoea,Enterobacteriaceae,Pantoea agglomerans
AS091,Enterobacter,Enterobacteriaceae,Enterobacter hormaechei_A
AS093,Serratia,Enterobacteriaceae,Serratia marcescens
AS096,Acinetobacter,Moraxellaceae,Acinetobacter beijerinckii
AS113,Cedecea,Enterobacteriaceae,Cedecea sp000277545
AS116,Acinetobacter,Moraxellaceae,Acinetobacter junii
AS124,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
AS126,Pantoea,Enterobacteriaceae,Pantoea eucrina_A
AS129,Pantoea,Enterobacteriaceae,Pantoea agglomerans
AS139,Pantoea,Enterobacteriaceae,Pantoea agglomerans
AS142,Pantoea,Enterobacteriaceae,NA
AS167,Acinetobacter,Moraxellaceae,NA
AS170,Serratia,Enterobacteriaceae,Serratia bockelmannii
AS183,UBA7405,Enterobacteriaceae,UBA7405 sp000755535
HN003,Pantoea,Enterobacteriaceae,Pantoea agglomerans
HN007,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
HN010,Asaia,Acetobacteraceae,NA
HN019,Pantoea,Enterobacteriaceae,Pantoea eucalypti
HN020,Acinetobacter,Moraxellaceae,Acinetobacter johnsonii
HN022,Pantoea,Enterobacteriaceae,Pantoea agglomerans
HN028,Lelliottia,Enterobacteriaceae,Lelliottia amnigena
HN034,Acinetobacter,Moraxellaceae,Acinetobacter pittii_H
HN037,Leclercia,Enterobacteriaceae,Leclercia adecarboxylata
HN039,Serratia,Enterobacteriaceae,Serratia marcescens
HN041,Acinetobacter,Moraxellaceae,Acinetobacter pittii_H
HN047,Acinetobacter,Moraxellaceae,Acinetobacter modestus
HN049,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
HN059,Acinetobacter,Moraxellaceae,Acinetobacter pittii_H
HN065,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
HN067,Acinetobacter,Moraxellaceae,Acinetobacter pittii
HN068,Acinetobacter,Moraxellaceae,Acinetobacter modestus
HN069,Enterobacter,Enterobacteriaceae,Enterobacter asburiae_B
HN071,Acinetobacter,Moraxellaceae,Acinetobacter pittii
HN073,Enterobacter,Enterobacteriaceae,Enterobacter asburiae_B
HN079,Chania,Enterobacteriaceae,Chania oryzae
HN117,Serratia,Enterobacteriaceae,Serratia nevei
HN118,Serratia,Enterobacteriaceae,Serratia nevei
HN119,Serratia,Enterobacteriaceae,Serratia nevei
HN120,Enterobacter,Enterobacteriaceae,Enterobacter asburiae_B
HN121,Acinetobacter,Moraxellaceae,Acinetobacter soli
HN122,Acinetobacter,Moraxellaceae,Acinetobacter soli
HN123,Acinetobacter,Moraxellaceae,Acinetobacter modestus
HN124,Enterobacter,Enterobacteriaceae,Enterobacter asburiae_B
HN125,Enterobacter,Enterobacteriaceae,Enterobacter asburiae_B
HN126,Acinetobacter,Moraxellaceae,Acinetobacter modestus
HN127,Acinetobacter,Moraxellaceae,Acinetobacter modestus
HN128,Asaia,Acetobacteraceae,Asaia sp003994335
HN087,Enterobacter,Enterobacteriaceae,Enterobacter asburiae_B
HN091,Enterobacter,Enterobacteriaceae,Enterobacter asburiae_B
HN093,Acinetobacter,Moraxellaceae,Acinetobacter pittii
HN099,Acinetobacter,Moraxellaceae,Acinetobacter pittii
HN100,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
HN105,Acinetobacter,Moraxellaceae,Acinetobacter bereziniae
HN109,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
HN110,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
HN132,Acinetobacter,Moraxellaceae,Acinetobacter modestus
HN151,Serratia_A,Enterobacteriaceae,Serratia_A fonticola
HN157,Serratia_A,Enterobacteriaceae,Serratia_A fonticola
HN162,Klebsiella,Enterobacteriaceae,Klebsiella oxytoca
HN166,Serratia,Enterobacteriaceae,Serratia liquefaciens
HN173,Serratia_A,Enterobacteriaceae,Serratia_A fonticola
HN176,Enterobacter,Enterobacteriaceae,Enterobacter roggenkampii
HN178,Cedecea,Enterobacteriaceae,Cedecea sp000277545
HN182,Asaia,Acetobacteraceae,Asaia bogorensis
AS209,Klebsiella,Enterobacteriaceae,Klebsiella ornithinolytica
AS212,Enterobacter,Enterobacteriaceae,Enterobacter hormaechei_A
AS214,Serratia,Enterobacteriaceae,Serratia marcescens
AS216,Pseudescherichia,Enterobacteriaceae,Pseudescherichia sp002298805
AS218,Staphylococcus,Staphylococcaceae,Staphylococcus xylosus
AS222,Serratia,Enterobacteriaceae,Serratia marcescens_K
AS224,Mammaliicoccus,Staphylococcaceae,Mammaliicoccus sciuri
AS230,Klebsiella,Enterobacteriaceae,Klebsiella aerogenes
AS231,Salmonella,Enterobacteriaceae,Salmonella enterica
AS234,Proteus,Enterobacteriaceae,Proteus cibarius
AS235,Escherichia,Enterobacteriaceae,Escherichia coli
CR11,Staphylococcus,Staphylococcaceae,Staphylococcus hominis
CR21,NA,NA,NA
CR31,NA,NA,NA
CR41,Staphylococcus,Staphylococcaceae,Staphylococcus epidermidis
CR42,Staphylococcus,Staphylococcaceae,Staphylococcus epidermidis
LB10,NA,NA,NA
LB11,Elizabethkingia,Weeksellaceae,Elizabethkingia meningoseptica
LB12,Microbacterium,Microbacteriaceae,NA
LB14,Bacillus_A,Bacillaceae_G,Bacillus_A cereus
LB15,Elizabethkingia,Weeksellaceae,Elizabethkingia meningoseptica
LB16,Microbacterium,Microbacteriaceae,NA
LB21,NA,NA,NA
LB22,NA,NA,NA
LB26,Elizabethkingia,Weeksellaceae,Elizabethkingia meningoseptica
LB27,NA,NA,NA
LB28,NA,NA,NA
LB9,NA,NA,NA
M50,Leclercia,Enterobacteriaceae,Leclercia sp002902985
M51,Acinetobacter,Moraxellaceae,Acinetobacter nosocomialis
S242,Aeromonas,Aeromonadaceae,Aeromonas hydrophila
S315,Oceanobacillus,Amphibacillaceae,Oceanobacillus massiliensis
VD1,Leucobacter,Microbacteriaceae,NA
VD11,Atlantibacter,Enterobacteriaceae,Atlantibacter hermannii
VD12,Enterobacter,Enterobacteriaceae,Enterobacter cloacae
VD14,Acinetobacter,Moraxellaceae,Acinetobacter nosocomialis
VD15,Pseudomonas_E,Pseudomonadaceae,Pseudomonas_E juntendi
VD17,NA,NA,NA
VD18,Pseudomonas_E,Pseudomonadaceae,Pseudomonas_E juntendi
VD19,Cedecea,Enterobacteriaceae,Cedecea sp000277545
VD20,Cedecea,Enterobacteriaceae,Cedecea sp000277545
VD21,Cedecea,Enterobacteriaceae,Cedecea sp000277545
VD22,Cedecea,Enterobacteriaceae,Cedecea sp000277545
VD23,Cedecea,Enterobacteriaceae,Cedecea sp000277545
VD24,Pantoea,Enterobacteriaceae,Pantoea dispersa
VD25,Cedecea,Enterobacteriaceae,Cedecea sp000277545
VD26,Cedecea,Enterobacteriaceae,Cedecea sp000277545
VD27,Cedecea,Enterobacteriaceae,Cedecea sp000277545
VD28,Cedecea,Enterobacteriaceae,Cedecea sp000277545
VD29,NA,NA,NA
VD30,Pantoea,Enterobacteriaceae,Pantoea dispersa
VD31,Cedecea,Enterobacteriaceae,Cedecea sp000277545
VD32,Cedecea,Enterobacteriaceae,Cedecea sp000277545
VD33,Pantoea,Enterobacteriaceae,Pantoea dispersa
VD34,Burkholderia,Burkholderiaceae,Burkholderia gladioli
VD5,Enterobacter,Enterobacteriaceae,Enterobacter cloacae
VD7,Sphingomonas,Sphingomonadaceae,Sphingomonas sanguinis
VD8,Chryseobacterium,Weeksellaceae,Chryseobacterium sp013153155
VD9,Asaia,Acetobacteraceae,Asaia sp003994335
USHLN04,Serratia,Enterobacteriaceae,Serratia nevei
